iter	Passed	Remaining
0	0	36
1	0	31
2	1	36
3	1	36
4	1	33
5	2	31
6	2	29
7	2	30
8	3	31
9	3	30
10	3	29
11	3	29
12	4	28
13	4	28
14	4	28
15	5	28
16	5	27
17	5	27
18	6	26
19	6	27
20	7	27
21	8	29
22	8	29
23	9	28
24	9	28
25	9	27
26	9	26
27	10	26
28	10	25
29	10	24
30	10	24
31	11	23
32	11	23
33	11	22
34	12	22
35	12	21
36	12	21
37	12	20
38	13	20
39	13	19
40	13	19
41	14	19
42	14	19
43	14	18
44	14	18
45	15	17
46	15	17
47	15	17
48	16	16
49	16	16
50	16	16
51	17	15
52	17	15
53	17	15
54	17	14
55	18	14
56	18	14
57	18	13
58	19	13
59	19	13
60	19	12
61	20	12
62	20	12
63	21	12
64	21	11
65	22	11
66	23	11
67	23	11
68	24	10
69	24	10
70	24	10
71	25	9
72	25	9
73	25	9
74	26	8
75	26	8
76	26	8
77	27	7
78	27	7
79	27	6
80	28	6
81	28	6
82	28	5
83	29	5
84	29	5
85	29	4
86	30	4
87	30	4
88	30	3
89	31	3
90	31	3
91	31	2
92	32	2
93	32	2
94	32	1
95	33	1
96	33	1
97	33	0
98	34	0
99	34	0
